t	pose_x	pose_y	pose_theta	linear_displacement	linear_velocity	profile_displacement	profile_velocity	velocity_command_dx	velocity_command_dy	velocity_command_dtheta	steering_command_dx	steering_command_dy	steering_command_dtheta	cross_track_error	along_track_error	lookahead_point_x	lookahead_point_y	lookahead_point_velocity
241.940317	19.0230096651	47.0000401595	3.1415926536	0	-1.1504855909	0	-1.1504855909	-7.1504855909	0	-3.988303916988496E-6	-12.0000401596	0	-6.693224755695766E-6	4.015948293556448E-5	0	31.0230498246	47	-53.7171477081
242.000183	19.2703639152	46.9998027164	3.1396727914	-0.247354402	-2.3009711818	-0.2839112477	-8.3344055909	-14.637924163	0	0.0047238268	-12.0002047838	0	0.0038726044	1.972836232724262E-4	-0.0365568457	31.2705611988	47	-54.267252443
242.027996	19.3163832867	46.9997344452	3.1405454561	-0.2933738257	-1.7257283864	-0.5621298486	-11.6719655909	-19.2149603522	0	0.0034244349	-12.0002678443	0	0.0021386532	2.655547845833439E-4	-0.2687560229	31.3166488415	47	-54.3690695337
242.056959	19.4199269626	46.9996621581	3.1412435877	-0.3969175289	-4.0266995682	-0.9505163101	-15.1475255909	-24.1387069369	0	0.001502438	-12.1126675747	0	7.539149259797816E-4	3.3784191723640333E-4	-0.5535987813	31.5325942441	47	-54.8436196706
242.068834	19.759320205	46.9996029228	3.1415926536	-0.7363107782	-13.2305842955	-1.138854114	-16.5725255909	-24.6529954212	0	1.2556546022545143E-4	-12.4868308071	0	6.359935700551942E-5	3.970772119288313E-4	-0.4025433358	32.2461511119	47	-56.383297765
242.076241	19.8283493348	46.9995788271	3.1408945219	-0.8053399136	-14.3810698864	-1.26489863	-17.4613655909	-25.8217815307	0	0.0030104888	-12.551750037	0	0.0014633732	4.211729242840079E-4	-0.4595587164	32.3800982452	47	-56.6676590204
242.098873	20.000922092	46.9994131691	3.1403709231	-0.9779127523	-9.2038847273	-1.6908167015	-20.1772055909	-29.9626922314	0	0.0059812487	-12.7031928678	0	0.0025358521	5.868309288956652E-4	-0.7129039492	32.7041115427	47	-57.349688493
242.118289	20.2942956987	46.9990547454	3.1403709231	-1.271286578	-13.805827091	-2.1051961886	-22.5071255909	-32.8526858269	0	0.0065780658	-12.9333517174	0	0.0025896342	9.452545850692218E-4	-0.8339096107	33.2276437676	47	-58.4348740412
242.13627	20.6797077671	46.9983820738	3.1393237256	-1.6566992509	-18.9830122501	-2.5292957955	-24.6648455909	-35.1439218983	0	0.0127350855	-13.1992624055	0	0.0047830102	0.0016179262	-0.8725965446	33.8789574917	47	-59.7574246265
242.157567	21.0996336582	46.9973193536	3.1388001268	-2.0766264916	-17.8325266592	-3.0817967446	-27.2204855909	-38.4371951654	0	0.0170911567	-13.4565373175	0	0.0059834696	0.0026806464	-1.005170253	34.556150635	47	-61.1021779678
242.170329	21.4275205185	46.9963178771	3.1382765281	-2.404514885	-20.7087406365	-3.4389567004	-28.7519255909	-40.088493544	0	0.0210789605	-13.6401670303	0	0.0071721464	0.0036821229	-1.0344418154	35.0676578165	47	-62.0986141227
242.184263	21.8416925409	46.9947998505	3.1375783962	-2.8186896977	-24.1601974092	-3.8512354129	-30.4240055909	-41.7159371324	0	0.0264320275	-13.8555427675	0	0.0087791408	0.0052001495	-1.0325457152	35.697189837	47	-63.3034403559
242.193582	22.0947971491	46.9937396422	3.1372293305	-3.0717965277	-26.461168591	-4.1399673467	-31.5422855909	-42.9889874561	0	0.0295895828	-13.9796631817	0	0.0096222876	0.0062603578	-1.0681708189	36.0744049976	47	-64.0145077262
242.204912	22.4284347944	46.9922838641	3.1372293305	-3.4054373491	-26.461168591	-4.5050435764	-32.9018855909	-44.5333302541	0	0.0309315357	-14.1358739439	0	0.0098183605	0.0077161359	-1.0996062273	36.5642498532	47	-64.9262656
242.217713	22.8195963187	46.9906112251	3.1374038635	-3.79660245	-27.6116541819	-4.9360525499	-34.4380055909	-46.2768198883	0	0.0313364011	-14.3096754569	0	0.009689813	0.0093887749	-1.1394500999	37.1292127135	47	-65.9621941056
242.235009	23.3545670231	46.9882769603	3.1370547977	-4.3315782498	-32.2135965456	-5.5496413916	-36.5135255909	-48.6955086791	0	0.0358134477	-14.5337370527	0	0.0106889372	0.0117230397	-1.2180631418	37.8882301592	47	-67.328858881
242.247969	23.872280001	46.9858824573	3.1368802644	-4.8492967657	-33.3640821365	-6.0329343793	-38.0687255909	-50.0871355243	0	0.0385408318	-14.7380647982	0	0.0113405822	0.0141175427	-1.1836376136	38.6102590608	47	-68.6036600671
242.261176	24.2634410724	46.9841074124	3.1372293305	-5.2404618666	-35.0898105229	-6.5461735291	-39.6535655909	-52.2800453371	0	0.0381492219	-14.8853676278	0	0.0108619874	0.0158925876	-1.3057116625	39.1487270406	47	-69.5391579597
242.282778	25.0515170645	46.9808750819	3.1377529293	-6.0285444964	-38.5412672956	-7.4307686372	-42.2458055909	-55.3385721188	0	0.0372232906	-15.1662184151	0	0.010201502	0.0191249181	-1.4022241408	40.2176576562	47	-71.3599175832
242.297202	25.8280893699	46.9779610134	3.1379274623	-6.8051222703	-41.9927240684	-8.0526052436	-43.9766855909	-56.2618745569	0	0.0371584762	-15.4255129684	0	0.0101878681	0.0220389866	-1.2474829734	41.2535198837	47	-73.0810835448
242.318357	26.5356339024	46.9755529527	3.1384510608	-7.5126709087	-46.0194236366	-9.0097840688	-46.5152855909	-60.0198136422	0	0.0360815509	-15.6490725359	0	0.0094076068	0.0244470473	-1.4971131601	42.1846296346	47	-74.5943101873
242.331426	27.4215039035	46.9729245157	3.1388001268	-8.3985448137	-48.3203948184	-9.6279402618	-48.0835655909	-60.2353332679	0	0.034018	-15.9144302977	0	0.0089876998	0.0270754843	-1.2293954482	43.3358576047	47	-76.4238563875
242.348482	28.41091789	46.9702478867	3.1389746596	-9.3879624219	-48.8956376139	-10.4655079847	-50.1302855909	-61.5527847439	0	0.0338662931	-16.194691817	0	0.0089103065	0.0297521133	-1.0775455629	44.6055288043	47	-78.3921355304
242.361525	28.9631493223	46.9688985281	3.1393237256	-9.9401955055	-49.4708804093	-11.1295644906	-51.6954455909	-63.6973255875	0	0.0325161027	-16.3446321144	0	0.0083435801	0.0311014719	-1.1893689851	45.3077044359	47	-79.4597323468
242.372777	29.7972492287	46.9670060123	3.1393237256	-10.7742975589	-52.9223371821	-11.7188380946	-53.0456855909	-63.7817178443	0	0.0328156461	-16.563369315	0	0.0085218411	0.0329939877	-0.9445405357	46.3605355626	47	-81.0341195733
242.383076	30.2171753885	46.9660532284	3.1393237256	-11.1942247996	-54.6480655684	-12.2715197746	-54.2815655909	-65.6719059247	0	0.033920998	-16.6703207975	0	0.0086105909	0.0339467716	-1.077294975	46.887410123	47	-81.8106254073
242.393895	30.7981691164	46.9647349933	3.1393237256	-11.775220023	-55.7985511593	-12.8658150784	-55.5798455909	-67.0399961892	0	0.034814886	-16.8150754216	0	0.0087323235	0.0352650067	-1.0905950554	47.6131541332	47	-82.8683111446
